# Fecho de dependencia da composicao que a edge experimental testa hoje.
# Gerado em 13/09/2026. 1 linha por modulo carregado em runtime.
# destino = caminho content-addressed na main, para que blobs distintos do MESMO
# caminho nao se atropelem. Trazer com git, nunca por copia manual:
#   git checkout <commit> -- <caminho_origem> && mkdir -p <dir destino> && git mv ...
# ou:  git cat-file -p <commit>:<caminho_origem> > <destino>

commit_origem	blob_sha	bytes	estado_na_main	caminho_origem	destino_na_main
0086d4a402821604a66320e01f09431e2fc1a5f9	43dbe391a08c429f5f098c7c03869c9fdf494688	5792	JA_NA_MAIN	patches/joao-sales-continuity-20260907/fiscal-status-preload.ts	patches/joao-sales-continuity-20260907/fiscal-status-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	e4c76014ebac3a122a5c7895eb9f0f4d047497db	5048	JA_NA_MAIN	patches/joao-sales-continuity-20260907/freshness-preload.ts	patches/joao-sales-continuity-20260907/freshness-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	42baf30598c04a502dfd60bfda351bee10f99cb0	2008	JA_NA_MAIN	patches/joao-sales-continuity-20260907/lock-v3-preload.ts	patches/joao-sales-continuity-20260907/lock-v3-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	7304563b725fb7eee533cf087bc6977310edd7b9	7035	JA_NA_MAIN	patches/joao-sales-continuity-20260907/order-status-preload.ts	patches/joao-sales-continuity-20260907/order-status-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	5d08e946cd478f7213dd0709f92739def5d0e62a	7899	JA_NA_MAIN	patches/joao-sales-continuity-20260907/payment-status-preload.ts	patches/joao-sales-continuity-20260907/payment-status-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	6c896581946a6b90d1240b11aff92750e473ae67	143	JA_NA_MAIN	patches/joao-sales-continuity-20260907/reengagement-preload.ts	patches/joao-sales-continuity-20260907/reengagement-preload.ts
0086d4a402821604a66320e01f09431e2fc1a5f9	f453d0cec4661f1d9952e4e3aa7541f7d4e54046	12459	JA_NA_MAIN	patches/joao-sales-continuity-20260907/sales-continuity-preload.ts	patches/joao-sales-continuity-20260907/sales-continuity-preload.ts
05ec4f814bd6b0fbcbaacc4f715be684f0f2ad26	d534fbc1000e1250bd0ff6dc4501c4d08a3399db	12888	JA_NA_MAIN	patches/joao-freight-choice-context-20260912/freight-choice-context-preload-v1.ts	patches/joao-freight-choice-context-20260912/freight-choice-context-preload-v1.ts
0a16fb0d133d40b6ccdf4e7805052cd55f7fda56	fe253b35d9ceb95c19c9feaa13fad5ea3f17eab9	292	JA_NA_MAIN	patches/joao-replay-hermetico-v288/replay-authenticated-ingress-pass.ts	patches/joao-replay-hermetico-v288/replay-authenticated-ingress-pass.ts
0f9db02623b29d5ec3f9644986ce30876c1d947e	de07188f05ede67eb521175afd2ab126831d4d44	13410	JA_NA_MAIN	patches/joao-dry-run-effect-zero-20260912/dry-run-effect-zero-preload-v1.ts	patches/joao-dry-run-effect-zero-20260912/dry-run-effect-zero-preload-v1.ts
13dcea75a309d4bddf467646a638ef1f5b5bf0de	2c50587a80fe7688fe2d9879c6879f2bc280031c	13714	JA_NA_MAIN	patches/joao-layout-disambiguation-20260908/layout-disambiguation-preload.ts	patches/joao-layout-disambiguation-20260908/layout-disambiguation-preload.ts
1ffd7471b652bdb96ae2f6a1b6c791b13498e790	37b2e01a1409693bd26247b4e96637c5282f0f28	20577	JA_NA_MAIN	patches/joao-qualification-production-gate-20260909/qualification-gate-preload-v1.6.ts	patches/joao-qualification-production-gate-20260909/qualification-gate-preload-v1.6.ts
275aec6d1f89f0cd8de1ad33c266684a2ecf9491	0c6b1d4b2d5c2fad98ae5ae80b2616b7fd379855	10300	FALTA	patches/joao-skill-advisor-20260908/skill-router-preload.ts	patches/_vendor/275aec6/patches/joao-skill-advisor-20260908/skill-router-preload.ts
2c87962721f53fd919f8b964c4ee5b6ce9296049	4366836726fd56eca8c6c00bb5f4a0492fac621e	2853	FALTA	patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts	patches/_vendor/2c87962/patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts
2c87962721f53fd919f8b964c4ee5b6ce9296049	0a1f0b252b9dd58e86c587e850f9e520cad99463	944	FALTA	patches/joao-harness-prompt-skills-v11/router-metrics-outer.ts	patches/_vendor/2c87962/patches/joao-harness-prompt-skills-v11/router-metrics-outer.ts
355d6aa87860296811447968edb5cb2ef2486c59	8463d29da1193d535e3ab6a57183685475b8c5a8	9005	JA_NA_MAIN	patches/joao-output-guard-20260909/output-guard-v3-human-takeover.ts	patches/joao-output-guard-20260909/output-guard-v3-human-takeover.ts
465bba794317840834f7843ef18e0050e080093c	3b77cef0e30467d78c734754969ee885b885b5a8	7974	FALTA	patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts	patches/_vendor/465bba7/patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts
465bba794317840834f7843ef18e0050e080093c	48cdfb339d21478fd0b2f51a1af0564db4791ae4	4572	FALTA	patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts	patches/_vendor/465bba7/patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts
465bba794317840834f7843ef18e0050e080093c	c2036d46ac5e73ff80d92ea8ca4a3ee652c190a3	10034	FALTA	patches/joao-harness-prompt-skills-v11/skill-quote-table-v2.ts	patches/_vendor/465bba7/patches/joao-harness-prompt-skills-v11/skill-quote-table-v2.ts
5104bec580b1376be5ac1c4d7c9fb81f2cb824a9	5ab2e520ecdc6cf740a02c4102f993214d6e61d7	11363	FALTA	patches/joao-output-guard-20260906/gate7c-preload.ts	patches/_vendor/5104bec/patches/joao-output-guard-20260906/gate7c-preload.ts
59a31c87d3c5bb7169644400e9912fb07d509de7	7c7c8fe60e45471252b368e89fffbfeb5b3350df	7964	FALTA	patches/joao-orcamento-components-20260906/b2-preload.ts	patches/_vendor/59a31c8/patches/joao-orcamento-components-20260906/b2-preload.ts
5d70c213f57c8c97cb67c830ca652b486db26c38	befde7270d97116c154b2c8369acfa9e95fb5811	6819	JA_NA_MAIN	patches/joao-freight-comparison-20260909/freight-comparison-preload-v1.ts	patches/joao-freight-comparison-20260909/freight-comparison-preload-v1.ts
62415fa5ce8c1ba0ecf8886066e8c22dbebad08b	a40d47ad554e54807993aaa77637aeb2aaee625f	6999	JA_NA_MAIN	patches/joao-product-service-disambiguation-20260911-v5/artwork-context-preload-v2-preflight.ts	patches/joao-product-service-disambiguation-20260911-v5/artwork-context-preload-v2-preflight.ts
62415fa5ce8c1ba0ecf8886066e8c22dbebad08b	55db871d9fa88bd71cf6146f6eedc06577594e6a	6049	JA_NA_MAIN	patches/joao-product-service-disambiguation-20260911-v5/product-service-disambiguation-preload-v5-file-state.ts	patches/joao-product-service-disambiguation-20260911-v5/product-service-disambiguation-preload-v5-file-state.ts
64f3e8be95a0801c51f20ceedb666ddc5688df83	231af18ddb678163c1e6aaea7e6ecec43af0830c	11288	JA_NA_MAIN	patches/joao-erp-orcamentos-20260908/erp-orcamento-preload.ts	patches/joao-erp-orcamentos-20260908/erp-orcamento-preload.ts
6a47b54fecf888805cf9cd7c5bd31fcabc1d1bd8	92d1ee817a0b2f1c08cb11f61d8b1e98af1f1162	6864	FALTA	patches/joao-promise-result-guard-20260906/promise-guard-preload.ts	patches/_vendor/6a47b54/patches/joao-promise-result-guard-20260906/promise-guard-preload.ts
732306cd9d1aaea2f95feab5fb0f01a7cee46002	7cbd7a3bbf2d83cacb310f610c762901d3f68409	12102	JA_NA_MAIN	patches/joao-quantity-ambiguity-20260912/color-split-request-controller-v1.ts	patches/joao-quantity-ambiguity-20260912/color-split-request-controller-v1.ts
7385808639a994665b90fea8712dca83aa9b02ca	2f188d8ed229447cc1fe81189f04c3cdeaa0c674	10049	JA_NA_MAIN	patches/joao-repeat-order-history-20260909/repeat-order-history-preload-v1.ts	patches/joao-repeat-order-history-20260909/repeat-order-history-preload-v1.ts
8ad4b1c2df2bfc04c71ab4e10fc258f534517885	819c92b04be48e13a9ec05cf964b8d304785cd58	10736	JA_NA_MAIN	patches/joao-order-grade-confirmation-20260910/order-grade-confirmation-preload-v1.ts	patches/joao-order-grade-confirmation-20260910/order-grade-confirmation-preload-v1.ts
8ae11b8eb7e96d1cde3b42c9bec0945432b8ca05	e9eea569817dc6afedbffaafb2a0df84a188fb8d	5128	JA_NA_MAIN	patches/joao-erp-propostas-20260908/proposal-receipt-preload.ts	patches/joao-erp-propostas-20260908/proposal-receipt-preload.ts
a0c2fa421fb7ffda4247c6aa6b39a65fcb296fc5	07e0aa197862a5ee7d72f7c2cff123f1ed6148d8	12833	FALTA	patches/joao-skill-advisor-20260908/skill-advisor-preload.ts	patches/_vendor/a0c2fa4/patches/joao-skill-advisor-20260908/skill-advisor-preload.ts
a417e8183c0be58fbdc830b1df6f1cf39951d1b3	ff9528ac6a38512ab5683f4bee31d739621640e4	4436	JA_NA_MAIN	patches/joao-direct-file-intake-20260909/direct-file-intake-preload-v1.ts	patches/joao-direct-file-intake-20260909/direct-file-intake-preload-v1.ts
abb5b0d20d76f250a21eee6098a623b5998bcd19	0374e2705f60e67f07f03036d404fc2400dc04ae	12771	JA_NA_MAIN	patches/joao-closing-production-gate-20260909/closing-gate-preload-v1.3.ts	patches/joao-closing-production-gate-20260909/closing-gate-preload-v1.3.ts
af7c3dbef2ebcc81af86901efa0bd11321218d1d	95dc99650a2287716371e98e9ded8cfd569cf45b	19059	JA_NA_MAIN	patches/joao-external-link-intake-20260909/external-link-intake-preload-v3.ts	patches/joao-external-link-intake-20260909/external-link-intake-preload-v3.ts
b334521483c3dda230b1ecec7dfdab23c6bba937	3b77cef0e30467d78c734754969ee885b885b5a8	7974	FALTA	patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts	patches/_vendor/b334521/patches/joao-harness-prompt-skills-v11/composicao-baseline-v1.ts
b334521483c3dda230b1ecec7dfdab23c6bba937	4366836726fd56eca8c6c00bb5f4a0492fac621e	2853	FALTA	patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts	patches/_vendor/b334521/patches/joao-harness-prompt-skills-v11/prompt-metrics-inner.ts
c0e9e9c8e5ec8479cced726d9c9762df19bffd7a	97dacba8f6cafcf2e4f96a2858aa335af5bc3346	11533	JA_NA_MAIN	patches/joao-quantity-ambiguity-20260912/color-split-ambiguity-preload-v1.ts	patches/joao-quantity-ambiguity-20260912/color-split-ambiguity-preload-v1.ts
cae1a08902ce864e6314cd1f66ab6b9a076c5641	a1cfa6f5420d2da1ba042fad9c62b981d96cfcee	15014	JA_NA_MAIN	patches/joao-skill-orchestrator-20260909/orchestrator-preload-v1.4.ts	patches/joao-skill-orchestrator-20260909/orchestrator-preload-v1.4.ts
ce04266cd45995db0f6cf77587911445a3480d59	b52431071e9206e563119338e19b0de65e82d7df	6291	JA_NA_MAIN	patches/joao-product-service-disambiguation-20260911/product-service-disambiguation-preload-v4-apparel-apply.ts	patches/joao-product-service-disambiguation-20260911/product-service-disambiguation-preload-v4-apparel-apply.ts
d00d2fdf1dec889311655eaec6a9a007bb62f55f	441dabc06807ee8e21821d90c085a892eb036a42	5614	JA_NA_MAIN	patches/joao-quantity-ambiguity-20260912/color-split-resolution-fallback-preload-v1.ts	patches/joao-quantity-ambiguity-20260912/color-split-resolution-fallback-preload-v1.ts
dab2cd850f940c939d3dc132fe8b442f5be111b4	d2c052c6447491c7b06fbe9d39b26ada48504a9c	367747	FALTA	patches/joao-slot-proveniencia-escrita/candidato/index.ts	patches/_vendor/dab2cd8/patches/joao-slot-proveniencia-escrita/candidato/index.ts
